trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
36,0,36,0,10,116.23756340052933,116.23756340052933,0.05869560036808252,[-0.495],[0.25375],[1],[0],[0],[3.9144421005621552],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
37,0,37,0,5,120.19372100010514,120.19372100010514,0.033333100378513336,[0.0575],[0.2175],[1],[0],[0],[1.1732746008783579],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
38,0,38,0,5,121.40993400011212,121.40993400011212,0.034493500366806984,[-0.33],[0.42375],[1],[0],[0],[1.6395225003361702],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
39,0,39,0,5,123.09236299991608,123.09236299991608,0.034434299916028976,[-0.375],[0.12],[1],[0],[0],[1.9745562002062798],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
40,0,40,0,10,125.13734959997237,125.13734959997237,0.05855370033532381,[-0.07],[-0.0075],[1],[0],[0],[1.6983778001740575],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
41,0,41,0,5,126.87841140013188,126.87841140013188,0.03399309981614351,[-0.2925],[0.27375],[1],[0],[0],[1.3410169007256627],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
42,0,42,0,5,128.2616413999349,128.2616413999349,0.03408639971166849,[0.11625],[0.125],[1],[0],[0],[1.3413661001250148],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
43,0,43,0,10,129.68011930026114,129.68011930026114,0.059625400230288506,[0.365],[-0.37375],[1],[0],[0],[3.4129253001883626],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
44,0,44,0,5,133.1257843002677,133.1257843002677,0.03347930032759905,[0.43375],[0.1625],[1],[0],[0],[3.038829899393022],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
45,0,45,0,5,136.21273730043322,136.21273730043322,0.03673519939184189,[0.2775],[0.1625],[1],[0],[0],[1.5735034001991153],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
46,0,46,0,10,137.85734960064292,137.85734960064292,0.06206290051341057,[0.4925],[-0.35375],[1],[0],[0],[2.494296499527991],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
47,0,47,0,10,140.4191329004243,140.4191329004243,0.05856940057128668,[0.44375],[-0.095],[1],[0],[0],[1.6162635004147887],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
48,0,48,0,5,142.07771610002965,142.07771610002965,0.034327900037169456,[0.125],[-0.06375],[1],[0],[0],[2.174355499446392],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
49,0,49,0,5,144.29506780020893,144.29506780020893,0.033714200370013714,[0.06625],[-0.34375],[1],[0],[0],[1.3078354001045227],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
50,0,50,0,5,145.64376759994775,145.64376759994775,0.03551310021430254,[-0.0675],[-0.09625],[1],[0],[0],[1.1722851004451513],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
51,0,51,0,5,146.8597063999623,146.8597063999623,0.034867700189352036,[-0.13875],[-0.02125],[1],[0],[0],[1.6066677998751402],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
52,0,52,0,5,148.51445419993252,148.51445419993252,0.04037960059940815,[0.1925],[0.09],[1],[0],[0],[1.4837763998657465],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
53,0,53,0,10,150.06817900016904,150.06817900016904,0.0576622998341918,[-0.135],[-0.4625],[1],[0],[0],[1.9849794004112482],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
54,0,54,0,5,152.09430299978703,152.09430299978703,0.03311280068010092,[-0.1275],[0.445],[1],[0],[0],[2.04050310049206],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
55,0,55,0,5,154.17702629975975,154.17702629975975,0.036511899903416634,[-0.29],[0.04],[1],[0],[0],[1.5046703005209565],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
56,0,56,0,5,155.7280208999291,155.7280208999291,0.0346736004576087,[0.1125],[0.3825],[1],[0],[0],[1.3060234999284148],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
57,0,57,0,10,157.10665600001812,157.10665600001812,0.06426370050758123,[-0.0375],[0.15],[1],[0],[0],[1.9446446001529694],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
